name,user,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Comeback Story,javier,0.464,0.738,9,-7.304,1,0.0413,0.0262,0.00202,0.143,0.369,119.764,239053,4
Otro Atardecer,javier,0.777,0.595,2,-6.79,1,0.0375,0.59,0.00139,0.0669,0.546,108.02,244444,4
Ella y Yo (feat. Don Omar),javier,0.726,0.705,9,-8.184,0,0.274,0.518,0,0.238,0.71,175.926,267787,4
Paradise By the Dashboard Light,javier,0.326,0.872,2,-7.602,1,0.122,0.214,0,0.461,0.492,173.381,508333,4
"Somebody Else - Live From The O2, London. 16.12.16",javier,0.461,0.918,0,-8.382,1,0.245,0.0998,0.00299,0.96,0.422,104.916,401013,4
La Calle De Las Sirenas,javier,0.706,0.801,5,-11.615,1,0.0288,0.101,0.00159,0.138,0.816,104.535,236160,4
Running Up That Hill (A Deal With God),javier,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,298933,4
Modern Situations,javier,0.631,0.446,11,-11.803,0,0.0341,0.619,0.896,0.304,0.517,79.37,532174,4
Espérame en el Cielo,javier,0.691,0.346,4,-15.114,1,0.0339,0.914,1.49e-4,0.171,0.525,103.278,161320,4
Ms. Jackson,javier,0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,270507,4
PLACES,javier,0.771,0.448,2,-9.513,1,0.0446,0.493,0.708,0.108,0.0364,99.994,214827,4
Water Flow,javier,0.781,0.426,1,-9.541,1,0.0322,0.592,0.571,0.109,0.237,104.981,223584,4
Stranger In A Room,javier,0.666,0.157,0,-17.26,0,0.0458,0.978,0.385,0.105,0.334,129.995,177511,4
Vale,javier,0.693,0.67,11,-8.863,0,0.0425,0.388,0.772,0.152,0.725,145.01,247623,4
Overthinker,javier,0.472,0.604,8,-4.437,1,0.134,0.0315,0.0292,0.101,0.212,128.375,268000,1
Canela en Rama,javier,0.585,0.483,0,-7.205,1,0.0761,0.734,0,0.104,0.621,103.023,201507,4
Mediterraneo,javier,0.545,0.59,9,-7.257,0,0.0813,0.599,0,0.0916,0.583,100.835,205227,3
Un Millón de Primaveras,javier,0.73,0.341,3,-8.521,1,0.0578,0.654,1.81e-4,0.0926,0.822,100.558,173080,3
Great Fairy’s Fountain,javier,0.533,0.0989,6,-18.531,1,0.0378,0.926,0.751,0.124,0.188,125.971,132540,4
Intro,javier,0.617,0.778,9,-8.872,0,0.027,0.459,0.925,0.128,0.152,100.363,127920,4
La Boda Del Huitlacoche - Live,javier,0.684,0.882,9,-7.963,1,0.0761,0.517,9.81e-5,0.296,0.892,140.545,188417,3
Mi Mayor Anhelo,javier,0.593,0.557,2,-3.18,0,0.031,0.321,8.45e-4,0.0932,0.568,149.832,209787,4
El Amor de Mi Vida,javier,0.689,0.556,10,-4.776,1,0.0305,0.0254,0,0.0942,0.795,132.851,208160,4
Sunshine Reggae,javier,0.704,0.79,8,-5.756,1,0.0432,0.101,0.00657,0.0769,0.933,167.816,257667,4
Praise You - Purple Disco Machine Extended Remix,javier,0.819,0.896,1,-6.094,1,0.04,0.0307,0.525,0.015,0.93,121.013,416815,4
La Bachata,javier,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-6,0.218,0.85,124.98,162638,4
"Hold On, We're Going Home - BBC Live Version",javier,0.534,0.192,8,-12.321,1,0.042,0.946,0,0.111,0.328,104.882,193840,4
Begin Again,javier,0.675,0.57,7,-9.402,1,0.0348,0.811,9.31e-5,0.0788,0.575,101.981,275280,4
Of Twilight Skies,javier,0.223,0.0461,2,-29.712,1,0.0496,0.991,0.932,0.0902,0.0393,68.39,198120,1
Balcony Hotel - From 'Miss',javier,0.503,0.209,8,-22.495,0,0.0288,0.974,0.913,0.102,0.325,132.361,168398,3
4.3 Courante,javier,0.329,0.388,0,-18.764,0,0.0617,0.828,0.903,0.112,0.0394,103.365,122273,1
Hurt Somebody,javier,0.638,0.51,1,-6.485,1,0.305,0.344,0,0.212,0.448,114.576,167107,4
Spring 1 - 2022,javier,0.457,0.28,1,-14.516,0,0.0359,0.0444,0.95,0.264,0.12,108.487,152095,4
Superfast Jellyfish (feat. Gruff Rhys and De La Soul),javier,0.705,0.751,7,-4.767,1,0.287,0.0598,2.51e-6,0.907,0.819,80.727,174867,4
Assume Form,javier,0.413,0.349,4,-10.361,0,0.0628,0.886,1.95e-4,0.091,0.148,139.274,289600,4
Barefoot In The Park (feat. ROSALÍA),javier,0.558,0.632,9,-8.339,0,0.284,0.832,0.105,0.198,0.519,161.764,211200,4
"Dark Star - Live in the Crystal Ballroom, February 2, 1968",javier,0.489,0.427,2,-13.184,1,0.0521,0.717,0.0498,0.587,0.557,91.696,405093,4
away,javier,0.521,0.044,6,-15.546,1,0.102,0.884,0.877,0.101,0.824,46.601,91545,4
YUKON (INTERLUDE),javier,0.736,0.71,6,-8.497,0,0.091,0.383,0.0351,0.395,0.0728,82.482,141093,4
29 #Strafford APTS,javier,0.287,0.229,4,-14.678,1,0.0327,0.971,0.408,0.109,0.155,80.728,245200,4
Tabaco Y Chanel,javier,0.643,0.576,7,-6.896,1,0.0303,0.0267,0,0.273,0.699,97.022,312400,4
"Suite bergamasque, L. 75: III. Clair de lune",javier,0.32,0.00501,1,-33.366,1,0.0455,0.993,0.919,0.0618,0.0383,68.947,294960,5
We Got the Power (feat. Jehnny Beth) - Claptone Remix,javier,0.85,0.645,9,-8.519,0,0.0959,8.73e-4,0.801,0.0454,0.328,122.001,364918,4
Get Low,javier,0.466,0.213,9,-13.164,0,0.117,0.284,0.00466,0.115,0.155,75.015,250480,4
Like Wooh Wooh - Radio Edit,javier,0.833,0.86,1,-5.331,1,0.0675,0.155,0.773,0.103,0.606,124.987,136189,4
amour,javier,0.175,0.212,6,-14.073,1,0.0374,0.85,0.86,0.0979,0.128,132.026,277853,3
Sugar for the Pill,javier,0.534,0.536,7,-7.682,1,0.0244,0.209,0.835,0.113,0.427,98.018,270918,4
Now We Are Free,javier,0.328,0.219,9,-18.595,1,0.0337,0.579,0.0991,0.104,0.0387,138.022,254293,4
PROVENZA,javier,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,210200,4
Dear Prudence,javier,0.476,0.482,7,-13.04,1,0.0274,0.514,0.872,0.386,0.243,84.244,294427,4
Pieces,javier,0.7,0.271,4,-13.316,1,0.062,0.872,0.322,0.1,0.198,120.015,196413,4
María Bonita,javier,0.639,0.193,9,-15.403,1,0.0412,0.904,0,0.0934,0.49,96.334,200560,1
Baila Morena,javier,0.755,0.916,5,-4.062,1,0.0403,0.336,0.00158,0.234,0.976,120.029,237930,4
Amapolas,javier,0.784,0.689,4,-8.216,0,0.0385,0.759,0.00536,0.143,0.332,124.025,205716,4
Full Moon (Arr. Lewin for Guitar),javier,0.364,0.00799,8,-33.09,1,0.0395,0.978,0.894,0.109,0.0674,101.226,216093,4
Cumbia Buena,javier,0.872,0.503,6,-5.143,0,0.184,0.118,4.42e-4,0.0675,0.965,94.994,213745,4
when the party's over,javier,0.409,0.0178,4,-31.864,1,0.0458,0.994,0.88,0.078,0.161,117.639,208664,4
Nothing Else Matters,javier,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-6,0.075,0.158,142.352,388267,3
Colonial Man,javier,0.764,0.788,9,-6.098,0,0.0368,0.19,0.0554,0.186,0.972,126.54,305560,4
Children´s World,javier,0.605,0.256,10,-13.619,0,0.0433,0.524,0.583,0.104,0.508,141.242,650013,3
A Real Hero,javier,0.719,0.431,10,-9.226,1,0.0357,0.834,0.739,0.145,0.378,112.004,267860,4
6's to 9's,javier,0.714,0.663,8,-5.799,1,0.0694,0.145,0,0.264,0.64,95.497,206073,4
Goca Dünya,javier,0.738,0.683,4,-5.099,0,0.0622,0.0485,7.28e-4,0.0692,0.802,97.484,240093,4
Afrika Yie,javier,0.852,0.861,10,-5.105,0,0.0467,0.0693,0.0891,0.0489,0.749,106.033,413794,4
Sunshine,javier,0.496,0.36,7,-11.264,1,0.0279,0.831,0.886,0.116,0.142,63.064,233812,4
"Top Gun Anthem - From ""Top Gun"" Original Soundtrack",javier,0.423,0.651,0,-8.741,1,0.0406,0.00799,0.618,0.31,0.14,107.011,252200,4
"Take My Breath Away - Love Theme from ""Top Gun""",javier,0.497,0.719,6,-9.397,1,0.0266,0.0613,0,0.411,0.547,95.769,255733,4
Quién Fuera,javier,0.474,0.149,7,-18.635,1,0.044,0.876,0.0126,0.0919,0.482,157.134,336400,4
Ojalá,javier,0.526,0.235,7,-14.074,0,0.0991,0.907,4.44e-6,0.111,0.377,91.24,212482,1
Yo No Soy Celoso,javier,0.872,0.588,0,-6.276,1,0.0492,0.275,0,0.17,0.93,142.004,230704,4
